icd10c;icd103c;icd104c;icd10n;icd103n;icd104n;icd11c1;icd11c2;icd11c3;icd11l1;icd11l2;icd11l3;Disease;Definition
A20-A28;A20;A209;Certain zoonotic bacterial diseases;Plague;Plague, unspecified;1;B93;1B93;Certain infectious or parasitic diseases  ;Certain zoonotic bacterial diseases;Plague;Plague, unspecified  ;A disease caused by an infection with the gram-negative bacteria Yersinia pestis. This disease commonly presents with an infection of the lymph nodes leading to swelling and pain. This disease may also present with gangrene of the extremities, chills, malaise, high fever, muscle cramps, or seizures. Transmission is through the bite of an infected flea, by direct contact, or by droplet transmission.
A20-A28;A21;A219;Certain zoonotic bacterial diseases;Tularaemia;Tularaemia, unspecified;1;B94;1B94;Certain infectious or parasitic diseases  ;Certain zoonotic bacterial diseases;Tularaemia;Tularaemia, unspecified;A disease caused by an infection with Francisella tularensis. This disease is characterised by fever, chills, headache, and weakness, as well as other symptoms depending on the route of infection. Transmission is through the bite of an infected tick or deer fly, by ingestion of contaminated water or food, airborne transmission, or by direct contact with infected animals. Confirmation is by identification of Francisella tularensis, or the presence of antibodies to Francisella tularensis, in a blood or sputum sample.
A20-A28;A22;A229;Certain zoonotic bacterial diseases;Anthrax;Anthrax, unspecified;1;B97;1B97;Certain infectious or parasitic diseases  ;Certain zoonotic bacterial diseases;Anthrax;Anthrax, unspecified;A disease caused by an infection with the gram-positive bacteria Bacillus anthracis. This disease presents with clinical signs depending on the route of infection. Transmission is by inhalation, ingestion, or cutaneous contact with Bacillus anthracis spores. Confirmation is by identification of Bacillus anthracis in a sample, or detection of antibodies or toxins.
A20-A28;A27;A279;Certain zoonotic bacterial diseases;Leptospirosis;Leptospirosis, unspecified;1;B91;1B91;Certain infectious or parasitic diseases  ;Certain zoonotic bacterial diseases;Leptospirosis;Leptospirosis, unspecified;A disease caused by an infection with the gram-negative bacteria Leptospira. In the first phase, this disease is characterised by generalised illness (fever, chills, or myalgias) or individuals may be asymptomatic
A30-A49;A32;A329;Other bacterial diseases;Listeriosis;Listeriosis, unspecified;1;C1A;1C1A;Certain infectious or parasitic diseases  ;Other bacterial diseases;Listeriosis;Listeriosis, unspecified;A disease caused by an infection with the gram-positive bacteria Listeria. This disease commonly presents with fever and muscle aches, followed by gastrointestinal symptoms.
A30-A49;A36;A369;Other bacterial diseases;Diphtheria;Diphtheria, unspecified;1;C17;1C17;Certain infectious or parasitic diseases  ;Other bacterial diseases;Diphtheria;Diphtheria, unspecified;A disease commonly of the respiratory system, caused by an infection of the gram-positive bacteria Corynebacterium diphtheriae. This disease is characterised by sore throat, fever, and a pseudomembrane on the tonsils, pharynx, or nasal cavity. Transmission is by inhalation of infected respiratory secretions, or direct cutaneous contact. Confirmation is by identification of Corynebacterium diphtheriae from a throat swab or infected tissue, and by clinical signs.
A30-A49;A37;A370;Other bacterial diseases;Whooping cough;Whooping cough due to Bordetella pertussis;1;C12;1C12;Certain infectious or parasitic diseases  ;Other bacterial diseases;Whooping cough;Whooping cough due to Bordetella pertussis;A disease of the upper respiratory tract, caused by an infection of the gram-negative bacteria Bordetella pertussis. This disease typically presents with paroxysmal cough, inspiratory whoop, and fainting or vomiting after coughing. Transmission is by inhalation of infected respiratory secretions. Confirmation is by identification of Bordetella pertussis from nasopharyngeal samples or sputum, or detection of antibodies against Bordetella pertussis.
A30-A49;A39;A390;Other bacterial diseases;Meningococcal infection;Meningococcal meningitis;1;C1C;1C1C;Certain infectious or parasitic diseases  ;Other bacterial diseases;Meningococcal disease;Meningococcal meningitis;A condition of the meninges, caused by an infection with the gram-negative bacteria Neisseria meningitidis. This condition is characterised by high fever, stiff neck, severe headache, vomiting, purpura, photophobia, and sometimes chills, altered mental status, or seizures. Transmission is through haematogenous spread to the meninges after droplet transmission or direct contact. Confirmation is by identification of Neisseria meningitidis through a lumbar puncture, agglutination tests, or polymerase chain reaction.
A30-A49;A40;A409;Other bacterial diseases;Streptococcal sepsis;Streptococcal sepsis, unspecified;1;G40;1G40;Certain infectious or parasitic diseases  ;Sepsis;Sepsis without septic shock;Sepsis without septic shock;Sepsis is defined as a life-threatening organ dysfunction caused by a dysregulated host response to infection.
A30-A49;A48;A481;Other bacterial diseases;Other bacterial diseases, not elsewhere classified;Legionnaires disease;1;C19;1C19;Certain infectious or parasitic diseases  ;Other bacterial diseases;Legionellosis;Legionnaires disease;Legionnaires’ disease, the pneumonic form, has an incubation period of 2 to 10 days (but up to 16 days has been recorded in some outbreaks). Initially, symptoms are fever, loss of appetite, headache, malaise and lethargy. Some patients may also have muscle pain, diarrhoea and confusion. There is also usually an initial mild cough, but as many as 50% of patients can present phlegm. Blood-streaked phlegm or hemoptysis occurs in about one-third of the patients. The severity of disease ranges from a mild cough to a rapidly fatal pneumonia. Death occurs through progressive pneumonia with respiratory failure and/or shock and multi-organ failure.
A50-A64;A54;A549;Infections with a predominantly sexual mode of transmission;Gonococcal infection;Gonococcal infection, unspecified;1;A7Z;1A7Z;Certain infectious or parasitic diseases  ;Predominantly sexually transmitted infections;Gonococcal infection;Gonococcal infection, unspecified;A condition caused by an infection with the gram-negative bacteria Neisseria gonorrhoeae. Transmission is by sexual contact. Confirmation is by identification of Neisseria gonorrhoeae.
A75-A79;A75;A750;Rickettsioses;Typhus fever;Epidemic louse-borne typhus fever due to Rickettsia prowazekii;1;C30;1C30;Certain infectious or parasitic diseases  ;Other bacterial diseases;Rickettsioses;Epidemic louse-borne typhus fever due to Rickettsia prowazekii;This is a form of typhus so named because the disease often causes epidemics following wars and natural disasters. The causative organism is Rickettsia prowazekii, transmitted by the human body louse (Pediculus humanus corporis). This diagnosis is due to is a species of gram negative, Alpha Proteobacteria, obligate intracellular parasitic, aerobic bacteria that is the aetiologic agent of epidemic typhus, transmitted in the faeces of lice.
A80-A89;A80;A809;Viral infections of the central nervous system;Acute poliomyelitis;Acute poliomyelitis, unspecified;1;C81;1C81;Certain infectious or parasitic diseases  ;Viral infections of the central nervous system;Acute poliomyelitis;Acute poliomyelitis, unspecified;A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture.
A80-A89;A81;A810;Viral infections of the central nervous system;Atypical virus infections of central nervous system;Creutzfeldt-Jakob disease;8;E02;800;Diseases of the nervous system;Human prion diseases;Genetic prion diseases;Creutzfeldt-Jakob disease, unspecified;Diseases of the nervous system complicating pregnancy, childbirth or the puerperium / Creutzfeldt-Jakob disease, unspecified
A80-A89;A82;A829;Viral infections of the central nervous system;Rabies;Rabies, unspecified;1;C82;1C82;Certain infectious or parasitic diseases  ;Viral infections of the central nervous system;Rabies;Rabies, unspecified;A disease caused by infection with the rabies virus. This disease is characterised by fever, and headache, followed by neurological symptoms dominated by a furious or paralytic form.
A80-A89;A83;A830;Viral infections of the central nervous system;Mosquito-borne viral encephalitis;Japanese encephalitis;1;C85;1C85;Certain infectious or parasitic diseases  ;Viral infections of the central nervous system;Japanese encephalitis;Japanese encephalitis virus disease;A disease of the brain, caused by an infection with flavivirus. This disease is characterised by fever, headache, meningism, hyperexcitability, or decreased consciousness. This disease may also present with neurological signs such as cranial nerve palsies, tremor and ataxia, parkinsonism, or upper limb paralysis. Transmission is through the bite of an infected mosquito. Confirmation is by identification of flavivirus in a serum sample or cerebrospinal fluid.
A80-A89;A83;A833;Viral infections of the central nervous system;Mosquito-borne viral encephalitis;St Louis encephalitis;1;C86;1C86;Certain infectious or parasitic diseases  ;Viral infections of the central nervous system;St Louis encephalitis;St. Louis encephalitis virus infection;A viral encephalitis caused by the St. Louis encephalitis virus (Encephalitis virus, St. Louis), a flavivirus. it is transmitted to humans and other vertebrates primarily by mosquitoes of the genus Culex. The primary animal vectors are wild birds and the disorder is endemic to the midwestern and southeastern united states. Infections may be limited to an influenza-like illness or present as an aseptic meningitis or encephalitis. Clinical manifestations of the encephalitic presentation may include seizures, lethargy, myoclonus, focal neurologic signs, coma, and death.
A80-A89;A83;A839;Viral infections of the central nervous system;Mosquito-borne viral encephalitis;Mosquito-borne viral encephalitis, unspecified;1;C80;1C80;Certain infectious or parasitic diseases  ;Viral infections of the central nervous system;Viral encephalitis not elsewhere classified;Mosquito-borne viral encephalitis, unspecified;An inflammatory process of the brain, frequently with evidence of meningeal involvement, due to infection by a viral agent. The clinical manifestations are usually acute, but may be subacute, with fever and variable combinations of convulsions, impaired mental state, and focal deficits. The spinal fluid may show a cellular reaction and elevated protein. Diagnosis is by neuroimaging, spinal fluid analysis and culture, PCR, and serologic tests.
A80-A89;A87;A879;Viral infections of the central nervous system;Viral meningitis;Viral meningitis, unspecified;1;C8E;1C8E;Certain infectious or parasitic diseases  ;Viral infections of the central nervous system;Viral meningitis not elsewhere classified;Viral meningitis not elsewhere classified, unspecified;Any disease of the meninges, caused by an infection with a viral source.
A92-A99;A92;A920;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other mosquito-borne viral fevers;Chikungunya virus disease;1;D40;1D40;Certain infectious or parasitic diseases  ;Certain arthropod-borne viral fevers;Chikungunya virus disease;Chikungunya mosquito-borne viral fever;Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus.
A92-A99;A92;A921;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other mosquito-borne viral fevers;O'nyong-nyong fever;1;D42;1D42;Certain infectious or parasitic diseases  ;Certain arthropod-borne viral fevers;O'nyong-nyong fever;O'nyong-nyong mosquito-borne viral fever;O’nyong-nyong fever is a viral disease spread by mosquitoes. The clinical features include fever, joint pain, lymphadenopathy and skin rash. The disease is self-limiting
A92-A99;A92;A922;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other mosquito-borne viral fevers;Venezuelan equine fever;1;C8C;1C8C;Certain infectious or parasitic diseases  ;Viral infections of the central nervous system;Venezuelan equine encephalitis;Venezuelan equine fever;
A92-A99;A92;A923;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other mosquito-borne viral fevers;West Nile virus infection;1;D46;1D46;Certain infectious or parasitic diseases  ;Certain arthropod-borne viral fevers;West Nile virus infection;West Nile virus infection;A condition caused by an infection with West Nile Virus. This condition is common asymptomatic. This condition may present with fever, headache, stiffness of the neck, stupor, disorientation, coma, tremors, convulsions, muscle weakness, or paralysis. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgG or IgM anti-West Nile virus antibodies in a serum sample.
A92-A99;A92;A924;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other mosquito-borne viral fevers;Rift Valley fever;1;D44;1D44;Certain infectious or parasitic diseases  ;Certain arthropod-borne viral fevers;Rift Valley fever;Rift Valley fever;A disease caused by an infection with Rift Valley fever virus. This disease is commonly asymptomatic. This disease may also present with fever, liver abnormalities, weakness, back pain, or dizziness. Transmission is through the bite of an infected mosquito. Confirmation is commonly by detection of Rift Valley fever virus specific IgM or IgG antibodies in a blood sample.
A92-A99;A92;A925;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other mosquito-borne viral fevers;Zika virus disease;1;D48;1D48;Certain infectious or parasitic diseases  ;Certain arthropod-borne viral fevers;Zika virus disease;Zika virus disease;Zika virus infection is caused by the bite of an infected Aedes mosquito. The most common symptoms of Zika virus infection are mild fever and exanthema (skin rash), usually accompanied by conjunctivitis, muscle or joint pain, and general malaise that begins 2-7 days after the bite of the infected mosquito.
A92-A99;A92;A928;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other mosquito-borne viral fevers;Other specified mosquito-borne viral fevers;1;D4Z;1D4Z;Certain infectious or parasitic diseases  ;Certain arthropod-borne viral fevers;Arthropod-borne viral fever;Arthropod-borne viral fever, virus unspecified;
A92-A99;A93;A930;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other arthropod-borne viral fevers, not elsewhere classified;Oropouche virus disease;1;D43;1D43;Certain infectious or parasitic diseases  ;Certain arthropod-borne viral fevers;Oropouche virus disease;Oropouche virus disease;A disease caused by an infection with Oropouche virus. This disease is characterised by fever, headache, neck and back pain, joint pain, or photophobia. This disease may also present with bronchitis, nausea, diarrhoea, abdominal pain or burning sensations all over the body. Transmission is through the bite of an infected mosquito or midge. Confirmation is by detection of the Oropouche virus specific antibodies in a serum sample.
A92-A99;A95;A950;Arthropod-borne viral fevers and viral haemorrhagic fevers;Yellow fever;Sylvatic yellow fever;1;D47;1D47;Certain infectious or parasitic diseases  ;Certain arthropod-borne viral fevers;Yellow fever;Sylvatic yellow fever ;A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample.
A92-A99;A95;A959;Arthropod-borne viral fevers and viral haemorrhagic fevers;Yellow fever;Yellow fever, unspecified;1;D47;1D47;Certain infectious or parasitic diseases  ;Certain arthropod-borne viral fevers;Yellow fever;Yellow fever, unspecified;A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample.
A92-A99;A96;A962;Arthropod-borne viral fevers and viral haemorrhagic fevers;Arenaviral haemorrhagic fever;Lassa fever;1;D61;1D61;Certain infectious or parasitic diseases  ;Certain zoonotic viral diseases;Arenavirus disease;Lassa fever;A disease endemic in large parts of sub-Saharan Western Africa caused by infection with Lassa virus. Infection is mild or asymptomatic in most cases, but can cause severe illness or death. After a prodromal period of 7-10 days (sometimes longer), initial symptoms/signs include fever, malaise, headache, sore throat, vomiting, abdominal pain, and diarrhoea. Subsequently, patients develop high fever, extreme lethargy, oedema of head/neck, encephalopathy, pleural effusion, and ascites. Bleeding into the skin, mucosae and underlying tissues occurs in the severest cases. Deafness occurs in many patients, and the disease is often particularly severe in pregnancy. The overall lethality can reach 15% even among hospitalized patients receiving supportive care. Transmission occurs by inhalation, consumption, or direct contact with excretions and bodily fluids from infected rodents. Diagnosis occurs by identification of Lassa virus in blood samples by molecular or serologic methods.
A92-A99;A96;A969;Arthropod-borne viral fevers and viral haemorrhagic fevers;Arenaviral haemorrhagic fever;Arenaviral haemorrhagic fever, unspecified;1;D61;1D61;Certain infectious or parasitic diseases  ;Certain zoonotic viral diseases;Arenavirus disease;Arenavirus disease, unspecified;
A92-A99;A97;A979;Arthropod-borne viral fevers and viral haemorrhagic fevers;Dengue;Dengue, unspecified;1;D2Z;1D2Z;Certain infectious or parasitic diseases  ;Dengue;Dengue fever, unspecified;Dengue fever, unspecified;Dengue is a viral disease transmitted by the bite of a mosquito infected by dengue viruses. It is one disease entity with different clinical presentations and often with unpredictable clinical evolution and outcome. Most patients recover following a self-limiting non-severe clinical course like nausea, vomiting, rash, aches and pains, but a small proportion progress to severe disease, mostly characterised by plasma leakage with or without haemorrhage, although severe haemorrhages or severe organ impairment can occur, with or without dengue shock.
A92-A99;A98;A980;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other viral haemorrhagic fevers, not elsewhere classified;Crimean-Congo haemorrhagic fever;1;D49;1D49;Certain infectious or parasitic diseases  ;Certain arthropod-borne viral fevers;Crimean-Congo haemorrhagic fever;Crimean-Congo haemorrhagic fever;A disease caused by an infection with Crimean-Congo haemorrhagic fever virus. The incubation period ranges from 2 to 9 days. Symptoms/signs typically include high fever, headache, malaise, arthralgia, myalgia, nausea, abdominal pain, and rarely diarrhoea. Early signs typically include fever, hypotension, conjunctivitis, and cutaneous flushing or a skin rash. Later, patients may develop signs of progressive haemorrhagic diathesis, such as petechiae, mucous membrane and conjunctival haemorrhage, haematuria, hematemesis, and melena. Lethality may reach 30%. Transmission occurs via bites of infected ticks, by direct contact with infected animal blood, or iatrogenic transmission. Laboratory diagnosis of the infection during the acute phase of illness consists of detection of viral nucleic acid or by isolation of the virus or by demonstration of viral antigen by enzyme-linked immunoassay from serum or plasma samples. In samples collected later during the illness, diagnosis is confirmed by demonstration of specific IgG and IgM antibodies.
A92-A99;A98;A983;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other viral haemorrhagic fevers, not elsewhere classified;Marburg virus disease;1;D60;1D60;Certain infectious or parasitic diseases  ;Certain zoonotic viral diseases;Filovirus disease;Marburg disease;A severe disease with high case fatality caused by infection with Marburg virus or a closely related virus. Marburg disease is typically characterised by acute onset of fever with non-specific symptoms/signs (e.g., abdominal pain, anorexia, fatigue, malaise, myalgia, sore throat) usually followed several days later by nausea, vomiting, diarrhoea, and occasionally a variable rash. Severe illness may include haemorrhagic manifestations (e.g., bleeding from puncture sites, ecchymoses, petechiae, visceral effusions), encephalopathy, shock/hypotension, multi-organ failure. Common laboratory findings include thrombocytopenia, elevated transaminase concentrations, electrolyte abnormalities, and signs of renal dysfunction. Individuals who recover may experience prolonged sequelae (e.g., arthralgia, neurocognitive dysfunction, uveitis), and clinical and subclinical persistent infection may occur in immune-privileged compartments (e.g., CNS, eyes, testes). Person-to-person transmission occurs by direct contact with blood, other bodily fluids, organs, or contaminated surfaces and materials with risk beginning at the onset of clinical signs and increasing with disease severity. Family members, sexual contacts, healthcare providers, and participants in burial ceremonies with direct contact with the deceased are at particular risk. The incubation period typically is 7–11 days (range ≈2–21 days).
A92-A99;A98;A984;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other viral haemorrhagic fevers, not elsewhere classified;Ebola virus disease;1;D60;1D60;Certain infectious or parasitic diseases  ;Certain zoonotic viral diseases;Filovirus disease;Ebola disease;A severe disease with high case fatality caused by infection with Ebola virus or a closely related virus. Ebola disease is typically characterised by acute onset of fever with non-specific symptoms/signs (e.g., abdominal pain, anorexia, fatigue, malaise, myalgia, sore throat) usually followed several days later by nausea, vomiting, diarrhoea, and occasionally a variable rash. Hiccups may occur. Severe illness may include haemorrhagic manifestations (e.g., bleeding from puncture sites, ecchymoses, petechiae, visceral effusions), encephalopathy, shock/hypotension, multi-organ failure, spontaneous abortion in infected pregnant women. Common laboratory findings include thrombocytopenia, elevated transaminase concentrations, electrolyte abnormalities, and signs of renal dysfunction. Individuals who recover may experience prolonged sequelae (e.g., arthralgia, neurocognitive dysfunction, uveitis sometimes followed by cataract formation), and clinical and subclinical persistent infection may occur in immune-privileged compartments (e.g., CNS, eyes, testes). Person-to-person transmission occurs by direct contact with blood, other bodily fluids, organs, or contaminated surfaces and materials with risk beginning at the onset of clinical signs and increasing with disease severity. Family members, sexual contacts, healthcare providers, and participants in burial ceremonies with direct contact with the deceased are at particular risk. The incubation period typically is 7–11 days (range ≈2–21 days).
A92-A99;A98;A985;Arthropod-borne viral fevers and viral haemorrhagic fevers;Other viral haemorrhagic fevers, not elsewhere classified;Haemorrhagic fever with renal syndrome;1;D62;1D62;Certain infectious or parasitic diseases  ;Certain zoonotic viral diseases;Hantavirus disease;Haemorrhagic fever with renal syndrome;Acute zoonotic viral disease with abrupt onset of fever, lower back pain, varying degrees of haemorrhagic manifestations, and renal involvement caused by certain hantaviruses.
A92-A99;A99;A990;Arthropod-borne viral fevers and viral haemorrhagic fevers;Unspecified viral haemorrhagic fever;Unspecified viral haemorrhagic fever;1;D86;1D86;Certain infectious or parasitic diseases  ;Certain other viral diseases;Viral haemorrhagic fever, not elsewhere classified;Unspecified viral haemorrhagic fever;
B00-B09;B04;B04;Viral infections characterized by skin and mucous membrane lesions;Monkeypox;Monkeypox;1;E71;1E71;Certain infectious or parasitic diseases  ;Viral infections characterised by skin or mucous membrane lesions;Infections due to poxvirus;Monkeypox;A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise
B00-B09;B05;B05;Viral infections characterized by skin and mucous membrane lesions;Measles;Measles;1;F03;1F03;Certain infectious or parasitic diseases  ;Viral infections characterised by skin or mucous membrane lesions;Measles;Measles;A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies.
B00-B09;B08;B084;Viral infections characterized by skin and mucous membrane lesions;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified;Enteroviral vesicular stomatitis with exanthem;1;F05;1F05;Certain infectious or parasitic diseases  ;Viral infections characterised by skin or mucous membrane lesions;Picornavirus infections presenting in the skin or mucous membranes;Enteroviral vesicular stomatitis;Enteroviral vesicular stomatitis, commonly called hand, foot and mouth disease, is a highly contagious enterovirus infection (usually Coxsackievirus A16 or Enterovirus 71). It typically causes a mild febrile illness with sore throat and loss of appetite followed by an eruption of vesicles on the lips, hands and feet. The majority of cases occur in children under the age of five.
B15-B19;B15;B15;Viral hepatitis;Acute hepatitis A;Acute hepatitis A;1;E50;1E+50;Certain infectious or parasitic diseases  ;Viral hepatitis;Acute viral hepatitis;Acute hepatitis A;Acute liver injury and inflammation caused by recent and short-term (less than 6 months) infection with hepatitis A virus (HAV). Transmission is by the faecal-oral route. Diagnosis is confirmed by presence of IgM-anti-HAV in serum. Clinical features, if they occur, are characterised by anorexia, nausea and fever, with jaundice in severer cases.
B15-B19;B17;B172;Viral hepatitis;Other acute viral hepatitis;Acute hepatitis E;1;E50;1E+50;Certain infectious or parasitic diseases  ;Viral hepatitis;Acute viral hepatitis;Acute hepatitis E;A disease of the liver, caused by an acute infection with hepatitis E virus. This disease is characterised by nausea. Transmission is commonly by the faecal-oral route. Confirmation is by detection of anti-hepatitis E virus IgM antibodies in an individual's serum.
B20-B24;B24;B24;Human immunodeficiency virus [HIV] disease;Unspecified human immunodeficiency virus [HIV] disease;Unspecified human immunodeficiency virus [HIV] disease;1;C62;1C62;Certain infectious or parasitic diseases  ;Human immunodeficiency virus disease;Human immunodeficiency virus disease without mention of tuberculosis or malaria;Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified;A case of HIV infection is defined as an individual with HIV infection irrespective of clinical stage including severe or stage 4 clinical disease, (also known as AIDS) confirmed by laboratory criteria according to country definitions and requirements.
B25-B34;B33;B334;Other viral diseases;Other viral diseases, not elsewhere classified;Hantavirus (cardio-)pulmonary syndrome;1;D62;1D62;Certain infectious or parasitic diseases  ;Certain zoonotic viral diseases;Hantavirus disease;Hantavirus pulmonary syndrome;An acute zoonotic viral disease characterised by abrupt onset of fever, influenza-like clinical signs (e.g., chills, headache, myalgia, dry cough), gastrointestinal signs (e.g., diffuse abdominal pain, vomiting, diarrhoea), transient troubled vision (acute myopia), lumbalgia due to renal swelling, haemorrhagic manifestations to various degrees sometimes followed by rapidly increasing dyspnoea due to not-cardiogenic acute lung oedema, and/or renal involvement. The latter is characterised by initial, often massive proteinuria and microhaematuria sometimes accompanied by transient renal function impediment. All hantavirus infections are heralded by varying degrees of transient thrombocytopenia, which may serve as an indicator of clinical severity.
